Comment,Designator,Footprint,LCSC,Quantity
5050040812,J2,CONN8_505004-0812_MOL,,1
5050040812,J1,CONN8_505004-0812_MOL,,1
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
1µF,C2,C_0603_1608Metric,,1
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
1µF,C3,C_0603_1608Metric,,1
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
1µF,C1,C_0603_1608Metric,,1
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
1µF,C4,C_0603_1608Metric,,1
WS2812B,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
330R,R1,R_0603_1608Metric,,1
