Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_0603_1608Metric,72.975,-73.65,0.0,top
C2,1µF,C_0603_1608Metric,122.2,-73.7,0.0,top
C3,1µF,C_0603_1608Metric,96.2,-73.75,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,53.5,-75.0,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.5,-75.0,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.5,-75.0,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.5,-75.0,0.0,top
J1,5050040812,CONN8_505004-0812_MOL,42.5,-75.0,90.0,top
J2,5050040812,CONN8_505004-0812_MOL,137.5,-75.0,90.0,top
R1,330R,R_0603_1608Metric,46.75,-75.75,90.0,top
