Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,5050060812,CONN_505006-0812_MOL,27.0,-32.0,270.0,bottom
J10,5050060812,CONN_505006-0812_MOL,37.0,-32.0,270.0,bottom
J11,5050060812,CONN_505006-0812_MOL,35.0,-36.0,0.0,bottom
J12,5050060812,CONN_505006-0812_MOL,33.0,-42.0,270.0,bottom
J13,5050060812,CONN_505006-0812_MOL,37.0,-42.0,270.0,bottom
J14,5050060812,CONN_505006-0812_MOL,35.0,-46.0,0.0,bottom
J15,5050060812,CONN_505006-0812_MOL,23.07,-56.0,270.0,bottom
J16,5050060812,CONN_505006-0812_MOL,27.07,-56.0,270.0,bottom
J17,5050060812,CONN_505006-0812_MOL,25.07,-52.0,0.0,bottom
J18,5050060812,CONN_505006-0812_MOL,25.0,-60.0,0.0,bottom
J19,5050060812,CONN_505006-0812_MOL,36.656918,-24.367346,255.0,bottom
J2,5050060812,CONN_505006-0812_MOL,25.0,-36.0,0.0,bottom
J20,5050060812,CONN_505006-0812_MOL,32.656918,-24.867346,270.0,bottom
J21,5050060812,CONN_505006-0812_MOL,33.300001,-59.199999,270.0,bottom
J22,5050060812,CONN_505006-0812_MOL,38.126649,-57.85782,240.0,bottom
J23,5050060812,CONN_505006-0812_MOL,44.8,-52.046601,180.0,bottom
J24,5050060812,CONN_505006-0812_MOL,44.8,-47.546601,180.0,bottom
J25,5050060812,CONN_505006-0812_MOL,45.2,-56.93,180.0,bottom
J26,5050060812,CONN_505006-0812_MOL,45.2,-61.93,180.0,bottom
J27,5050060812,CONN_505006-0812_MOL,37.215,-52.080201,270.0,bottom
J28,5050060812,CONN_505006-0812_MOL,33.715,-52.080201,270.0,bottom
J29,5050060812,CONN_505006-0812_MOL,42.9,-28.169999,270.0,bottom
J3,5050060812,CONN_505006-0812_MOL,23.0,-25.0,270.0,bottom
J30,5050060812,CONN_505006-0812_MOL,46.9,-28.169999,270.0,bottom
J31,5050060812,CONN_505006-0812_MOL,44.83,-32.169999,0.0,bottom
J32,5050060812,CONN_505006-0812_MOL,44.83,-24.169999,180.0,bottom
J33,5050060812,CONN_505006-0812_MOL,43.0,-38.199999,270.0,bottom
J34,5050060812,CONN_505006-0812_MOL,45.0,-42.199999,0.0,bottom
J35,5050060812,CONN_505006-0812_MOL,47.0,-38.199999,270.0,bottom
J4,5050060812,CONN_505006-0812_MOL,27.0,-25.0,270.0,bottom
J5,5050060812,CONN_505006-0812_MOL,23.0,-32.0,270.0,bottom
J6,5050060812,CONN_505006-0812_MOL,23.0,-42.0,270.0,bottom
J7,5050060812,CONN_505006-0812_MOL,25.0,-46.0,0.0,bottom
J8,5050060812,CONN_505006-0812_MOL,27.0,-42.0,270.0,bottom
J9,5050060812,CONN_505006-0812_MOL,33.0,-32.0,270.0,bottom
