Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_0603_1608Metric,53.875,-51.3,0.0,top
C1,1µF,C_0603_1608Metric,153.3,-113.9,0.0,top
C1,1µF,C_0603_1608Metric,35.884314,-72.75,0.0,top
C1,1µF,C_0603_1608Metric,49.25,-115.25,0.0,top
C1,1µF,C_0603_1608Metric,38.884314,-94.15,0.0,top
C1,1µF,C_0603_1608Metric,39.125,-10.0,0.0,top
C1,1µF,C_0603_1608Metric,50.125,-30.45,0.0,top
C2,1µF,C_0603_1608Metric,52.759314,-72.85,0.0,top
C2,1µF,C_0603_1608Metric,98.475,-115.3,0.0,top
C2,1µF,C_0603_1608Metric,100.584314,-94.15,0.0,top
C2,1µF,C_0603_1608Metric,95.8,-51.4,180.0,top
C2,1µF,C_0603_1608Metric,101.75,-9.5,0.0,top
C2,1µF,C_0603_1608Metric,100.4,-30.45,0.0,top
C3,1µF,C_0603_1608Metric,155.5,-90.475,-90.0,top
C3,1µF,C_0603_1608Metric,74.125,-30.45,180.0,top
C3,1µF,C_0603_1608Metric,149.0,-100.725,-90.0,top
C3,1µF,C_0603_1608Metric,137.25,-100.725,-90.0,top
C3,1µF,C_0603_1608Metric,158.0,-100.95,-90.0,top
C3,1µF,C_0603_1608Metric,156.0,-100.95,-90.0,top
C3,1µF,C_0603_1608Metric,157.5,-90.475,-90.0,top
C3,1µF,C_0603_1608Metric,72.1,-9.5,180.0,top
C3,1µF,C_0603_1608Metric,135.5,-100.725,-90.0,top
C3,1µF,C_0603_1608Metric,71.884314,-94.05,180.0,top
C3,1µF,C_0603_1608Metric,160.0,-100.95,-90.0,top
C3,1µF,C_0603_1608Metric,137.0,-90.45,-90.0,top
C3,1µF,C_0603_1608Metric,79.425,-51.6,180.0,top
C3,1µF,C_0603_1608Metric,143.25,-90.225,-90.0,top
C3,1µF,C_0603_1608Metric,72.475,-115.35,0.0,top
C3,1µF,C_0603_1608Metric,145.5,-100.725,-90.0,top
C3,1µF,C_0603_1608Metric,133.75,-100.725,-90.0,top
C3,1µF,C_0603_1608Metric,147.25,-100.725,-90.0,top
C3,1µF,C_0603_1608Metric,143.75,-100.725,-90.0,top
C3,1µF,C_0603_1608Metric,135.25,-90.45,-90.0,top
C3,1µF,C_0603_1608Metric,79.959314,-72.65,180.0,top
C4,1µF,C_0603_1608Metric,97.084314,-72.75,0.0,top
C4,1µF,C_0603_1608Metric,37.075,-51.5,180.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,29.775,-116.6,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,29.4,-32.45,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24.633333,-53.5,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,25.85,-11.5,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24.717647,-74.15,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,26.184314,-95.45,0.0,top
D2,WS2812B,XL-3332RGBC-WS2812B,44.6,-11.5,0.0,top
D2,WS2812B,XL-3332RGBC-WS2812B,41.384314,-74.15,0.0,top
D2,WS2812B,XL-3332RGBC-WS2812B,54.4,-32.45,0.0,top
D2,WS2812B,XL-3332RGBC-WS2812B,44.934314,-95.45,0.0,top
D2,WS2812B,XL-3332RGBC-WS2812B,54.775,-116.6,0.0,top
D2,WS2812B,XL-3332RGBC-WS2812B,41.3,-53.5,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,139.7,-116.2,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,57.966667,-53.5,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,157.391667,-116.1,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,66.184314,-95.45,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,58.050981,-74.15,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,65.85,-11.5,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,79.775,-116.6,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,79.4,-32.45,0.0,top
D4,WS2812B,XL-3332RGBC-WS2812B,74.633333,-53.5,0.0,top
D4,WS2812B,XL-3332RGBC-WS2812B,86.184314,-95.45,0.0,top
D4,WS2812B,XL-3332RGBC-WS2812B,85.85,-11.5,0.0,top
D4,WS2812B,XL-3332RGBC-WS2812B,104.775,-116.6,0.0,top
D4,WS2812B,XL-3332RGBC-WS2812B,74.717647,-74.15,0.0,top
D4,WS2812B,XL-3332RGBC-WS2812B,104.4,-32.45,0.0,top
D5,WS2812B,XL-3332RGBC-WS2812B,91.384314,-74.15,0.0,top
D5,WS2812B,XL-3332RGBC-WS2812B,105.85,-11.5,0.0,top
D5,WS2812B,XL-3332RGBC-WS2812B,106.184314,-95.45,0.0,top
D5,WS2812B,XL-3332RGBC-WS2812B,91.3,-53.5,0.0,top
D6,WS2812B,XL-3332RGBC-WS2812B,108.050981,-74.15,0.0,top
D6,WS2812B,XL-3332RGBC-WS2812B,107.966667,-53.5,0.0,top
J1,5050040812,CONN8_505004-0812_MOL,18.684314,-95.45,90.0,top
J1,5050040812,CONN8_505004-0812_MOL,18.4,-32.45,90.0,top
J1,5050040812,CONN8_505004-0812_MOL,18.775,-116.6,90.0,top
J1,5050040812,CONN8_505004-0812_MOL,18.35,-11.5,90.0,top
J1,5050040812,CONN8_505004-0812_MOL,157.025,-37.9,-90.0,top
J1,5050040812,CONN8_505004-0812_MOL,18.8,-53.5,90.0,top
J1,5050040812,CONN8_505004-0812_MOL,18.884314,-74.15,90.0,top
J10,5050060812,CONN_505006-0812_MOL,147.025,-37.9,-90.0,top
J11,5050060812,CONN_505006-0812_MOL,149.025,-41.9,0.0,top
J12,5050060812,CONN_505006-0812_MOL,151.025,-47.9,-90.0,top
J13,5050060812,CONN_505006-0812_MOL,147.025,-47.9,-90.0,top
J14,5050060812,CONN_505006-0812_MOL,149.025,-51.9,0.0,top
J15,5050060812,CONN_505006-0812_MOL,160.955,-61.9,-90.0,top
J16,5050060812,CONN_505006-0812_MOL,156.955,-61.9,-90.0,top
J17,5050060812,CONN_505006-0812_MOL,158.955,-57.9,0.0,top
J18,5050060812,CONN_505006-0812_MOL,159.025,-65.9,0.0,top
J19,5050060812,CONN_505006-0812_MOL,147.368082,-30.267346,-105.0,top
J2,5050040812,CONN8_505004-0812_MOL,113.775,-116.6,90.0,top
J2,5050040812,CONN8_505004-0812_MOL,113.4,-32.45,90.0,top
J2,5050040812,CONN8_505004-0812_MOL,113.684314,-95.45,90.0,top
J2,5050040812,CONN8_505004-0812_MOL,113.35,-11.5,90.0,top
J2,5050040812,CONN8_505004-0812_MOL,159.025,-41.9,0.0,top
J2,5050040812,CONN8_505004-0812_MOL,113.884314,-74.15,90.0,top
J2,5050040812,CONN8_505004-0812_MOL,113.8,-53.5,90.0,top
J20,5050060812,CONN_505006-0812_MOL,151.368082,-30.767346,-90.0,top
J21,5050060812,CONN_505006-0812_MOL,150.724999,-65.099999,-90.0,top
J22,5050060812,CONN_505006-0812_MOL,145.898351,-63.75782,-120.0,top
J23,5050060812,CONN_505006-0812_MOL,139.225,-57.946601,180.0,top
J24,5050060812,CONN_505006-0812_MOL,139.225,-53.446601,180.0,top
J25,5050060812,CONN_505006-0812_MOL,138.825,-62.83,180.0,top
J26,5050060812,CONN_505006-0812_MOL,138.825,-67.83,180.0,top
J27,5050060812,CONN_505006-0812_MOL,146.81,-57.980201,-90.0,top
J28,5050060812,CONN_505006-0812_MOL,150.31,-57.980201,-90.0,top
J29,5050060812,CONN_505006-0812_MOL,141.125,-34.069999,-90.0,top
J3,5050060812,CONN_505006-0812_MOL,161.025,-30.9,-90.0,top
J30,5050060812,CONN_505006-0812_MOL,137.125,-34.069999,-90.0,top
J31,5050060812,CONN_505006-0812_MOL,139.195,-38.069999,0.0,top
J32,5050060812,CONN_505006-0812_MOL,139.195,-30.069999,180.0,top
J33,5050060812,CONN_505006-0812_MOL,141.025,-44.099999,-90.0,top
J34,5050060812,CONN_505006-0812_MOL,139.025,-48.099999,0.0,top
J35,5050060812,CONN_505006-0812_MOL,137.025,-44.099999,-90.0,top
J4,5050060812,CONN_505006-0812_MOL,157.025,-30.9,-90.0,top
J5,5050060812,CONN_505006-0812_MOL,161.025,-37.9,-90.0,top
J6,5050060812,CONN_505006-0812_MOL,161.025,-47.9,-90.0,top
J7,5050060812,CONN_505006-0812_MOL,159.025,-51.9,0.0,top
J8,5050060812,CONN_505006-0812_MOL,157.025,-47.9,-90.0,top
J9,5050060812,CONN_505006-0812_MOL,151.025,-37.9,-90.0,top
R1,330R,R_0603_1608Metric,22.65,-33.2,90.0,top
R1,330R,R_0603_1608Metric,22.6,-12.25,90.0,top
R1,330R,R_0603_1608Metric,23.025,-117.35,90.0,top
R1,330R,R_0603_1608Metric,30.084314,-72.75,180.0,top
R1,330R,R_0603_1608Metric,21.5,-54.5,-90.0,top
R1,330R,R_0603_1608Metric,21.584314,-96.075,-90.0,top
